img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_7_noise_high,img_7_noise_high,full,1.000000000000148,0.3536098774216691,1.0000000000000038,13344.90495974687,1.0,7
img_7_noise_high,img_7_noise_high,hist,1.0,1446.6415167221437,1.0000000000000002,41.33635823738528,1.0,7
img_8_bw,img_8_bw,full,1.0046259009801315,0.0897173818414584,0.9999999999813382,13347.457412155312,1.0,8
img_8_bw,img_8_bw,hist,1.0,1148.4849761999308,1.0000000000000002,41.32308977894865,1.0,8
img_8_bw,img_8_noise_low,full,0.7787707075044367,0.0775602786607984,0.3977243562880879,3788.489846227945,0.8306499024441598,8
img_8_bw,img_8_noise_low,hist,0.8825835081436217,1136.0934565389898,0.7701873185515692,28.7255699424122,0.8785301269618924,8
img_8_bw,img_8_noise_mid,full,0.3961009450306557,0.0544676951771365,0.0970352761277511,794.9249021772353,0.4434031238614839,8
img_8_bw,img_8_noise_mid,hist,0.8412662271915179,1106.621078340896,0.8066639490736414,29.437038691134063,0.8174510940006471,8
img_8_bw,img_8_noise_high,full,0.2549901192579821,0.0437998546246855,0.0410930405883358,323.9723320556837,0.2868992812258505,8
img_8_bw,img_8_noise_high,hist,0.8558289911824108,1126.4900319045687,0.7475589462124519,28.63158406005678,0.8368399839304266,8
img_8_noise_low,img_8_noise_low,full,1.000000000000054,0.1110675739145182,1.0000000000000038,13344.90495974687,0.9999999999999996,8
img_8_noise_low,img_8_noise_low,hist,1.0,1442.7503307883685,1.0000000000000002,41.33105009558341,1.0,8
img_8_noise_low,img_8_noise_mid,full,0.3246731995484895,0.0497894229715399,0.0669457482344875,543.3492542095311,0.36802334681119,8
img_8_noise_low,img_8_noise_mid,hist,0.9624471671751488,1418.9768637467448,0.9304025418033772,36.21979542095046,0.959050998326205,8
img_8_noise_low,img_8_noise_high,full,0.2096945710089962,0.0401692789600411,0.0290478677169314,227.9924607593967,0.2384133070489326,8
img_8_noise_low,img_8_noise_high,hist,0.980010215736404,1445.7855968235094,0.9998238825988728,39.005914173434455,0.9773000443071542,8
img_8_noise_mid,img_8_noise_mid,full,1.0000000000000857,0.2117356658274657,1.0000000000000038,13344.90495974687,1.0,8
img_8_noise_mid,img_8_noise_mid,hist,1.0,1506.626663599226,1.0000000000000002,41.352347384769,1.0,8
img_8_noise_mid,img_8_noise_high,full,0.1141478864367528,0.0301910411901034,0.009971661589068,73.18020507703636,0.128958498014919,8
img_8_noise_mid,img_8_noise_high,hist,0.995574359339482,1500.9085352539312,0.9497287326074132,37.33462836500492,0.9961987088076872,8
img_8_noise_high,img_8_noise_high,full,1.0000000000000568,0.3303896344319879,1.0000000000000038,13344.90495974687,1.0,8
img_8_noise_high,img_8_noise_high,hist,1.0,1508.535030351829,1.0000000000000002,41.352792223168514,0.9999999999999998,8
img_9_bw,img_9_bw,full,1.0024850920746968,0.0898257280980963,0.9999999993281916,13346.06085305194,1.0,9
img_9_bw,img_9_bw,hist,1.0,1114.6680066376698,1.0000000000000002,41.31749441890989,1.0,9
